"記事ID","タイトル","URL","カタログキー","カバー状態","計測状態","インプレッション","PV","スキ","コメント","売上（円）","全期間公開かつ表示あり","開始日（JST）","終了日（JST）"
"nb8f3e05d244b","財政の余裕は最大1.25倍の格差！2021年経常収支比率ランキング","https://note.com/stats47/n/nb8f3e05d244b","paid-nb8f3e05d244b","configured","observed","190","7","0","0","0","true","2026-08-15","2026-09-11"
"n137cfc540d23","47都道府県の将来人口データを地図用に整える手順｜コード・辞書・検算付き","https://note.com/stats47/n/n137cfc540d23","d-geo-ipss-prefecture-map","configured","observed","189","9","0","0","0","false","2026-08-15","2026-09-11"
"n46a8eb03072b","高等学校卒業者の進学率ランキング｜47都道府県の教育格差を徹底分析","https://note.com/stats47/n/n46a8eb03072b","recovered-n46a8eb03072b","configured","observed","181","31","1","0","0","true","2026-08-15","2026-09-11"
"nc18fa33ec65e","公務員が副業せずに Claude Code スキルで評価される 5 つの場","https://note.com/stats47/n/nc18fa33ec65e","recovered-nc18fa33ec65e","configured","observed","179","20","0","0","0","true","2026-08-15","2026-09-11"
"n68f5e09c8d62","690品目で丸裸にする「47都道府県の家計」── 家計調査が暴く、あなたの県の消費グセ","https://note.com/stats47/n/n68f5e09c8d62","recovered-n68f5e09c8d62","configured","observed","178","110","0","0","0","true","2026-08-15","2026-09-11"
"n23a2071a016f","地価上昇地点と周囲の人口減少を照合する｜47都道府県CSV・包含結合・検算","https://note.com/stats47/n/n23a2071a016f","d-geo-land-price-future-population","configured","observed","177","11","3","0","0","false","2026-08-15","2026-09-11"
"n7a494830e01d","【2020年版】昼間人口が最も多い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/n7a494830e01d","a-day-time-population","configured","observed","175","9","1","0","0","false","2026-08-15","2026-09-11"
"nbdbde1672cc0","【2019年版】負債現在高が最も多い県は？ 1位は神奈川県｜都道府県ランキング","https://note.com/stats47/n/nbdbde1672cc0","a-current-liabilities-balance-multi-person-households-per-household","configured","observed","175","1","0","0","0","false","2026-08-15","2026-09-11"
"nc5126820c00d","自治体職員のための Claude Code 環境構築 完全版 (Windows / Mac / WSL 別)","https://note.com/stats47/n/nc5126820c00d","01-claude-code-setup-complete","configured","observed","165","74","1","0","0","true","2026-08-15","2026-09-11"
"neb44a932f9f2","冬物バーゲンが成功したかは家計調査でわかる ── 数量と単価のどちらが動いたか","https://note.com/stats47/n/neb44a932f9f2","b-kakei-winter-bargain","configured","observed","164","2","0","0","0","false","2026-08-15","2026-09-11"
"n76446d252957","【2024年版】平均消費性向が最も高い県は？ 1位は鳥取県｜都道府県ランキング","https://note.com/stats47/n/n76446d252957","a-avg-propensity-to-consume-worker-households","configured","observed","163","5","3","0","0","false","2026-08-15","2026-09-11"
"n93a6656b2096","【都道府県ランキング】合計特殊出生率1位は沖縄県1.70｜47位の東京都と1.6倍の格差","https://note.com/stats47/n/n93a6656b2096","recovered-n93a6656b2096","configured","observed","161","224","0","0","0","true","2026-08-15","2026-09-11"
"n7e98a46bf791","熊本県の家計は何にお金が偏っているか ── 私立校と仕送りに表れる熊本市の教育熱","https://note.com/stats47/n/n7e98a46bf791","a-kakei-kumamoto","configured","observed","161","3","2","0","0","false","2026-08-15","2026-09-11"
"na416c57e461c","教育費は8.7倍違う ── 47都道府県×十大費目の家計データセット（2007-2024・8,460行）","https://note.com/stats47/n/na416c57e461c","d-kakei-category-dataset","configured","observed","159","1","0","0","0","false","2026-08-15","2026-09-11"
"n66a286b5211b","【2014年版】農業就業人口が最も多い県は？ 1位は北海道｜都道府県ランキング","https://note.com/stats47/n/n66a286b5211b","a-agricultural-employment-population","configured","observed","147","6","0","0","0","false","2026-08-15","2026-09-11"
"n29417de32c83","高知県の家計は何にお金が偏っているか ── 住居費とかつおに見える高知市の暮らし","https://note.com/stats47/n/n29417de32c83","a-kakei-kochi","configured","observed","143","6","1","0","0","false","2026-08-15","2026-09-11"
"nb216c5776aab","【格差148倍】都道府県「行政事件」ランキング2022：偏差値110超えの東京と「わずか8件」の3県","https://note.com/stats47/n/nb216c5776aab","paid-nb216c5776aab","configured","observed","140","1","0","0","0","true","2026-08-15","2026-09-11"
"n023501038bd5","なぜ埼玉が「日照時間日本一」なのか — 意外な答えは地形にあった","https://note.com/stats47/n/n023501038bd5","recovered-n023501038bd5","configured","observed","134","48","1","0","0","true","2026-08-15","2026-09-11"
"n5b3dbb6c7cef","【2023年版】発電電力量が最も多い県は？ 1位は千葉県｜都道府県ランキング","https://note.com/stats47/n/n5b3dbb6c7cef","a-electricity-generation-capacity","configured","observed","132","17","0","0","0","false","2026-08-15","2026-09-11"
"n455ec72c5d62","Claude Code とは何か — ターミナル未経験の公務員のための導入ガイド","https://note.com/stats47/n/n455ec72c5d62","00-claude-code-intro-for-public-servants","configured","observed","132","4","0","0","0","true","2026-08-15","2026-09-11"
"nd0326279977a","神奈川県の家計は何にお金が偏っているか ── 教育費と地代でみる横浜の暮らし","https://note.com/stats47/n/nd0326279977a","a-kakei-kanagawa","configured","observed","132","3","0","0","0","false","2026-08-15","2026-09-11"
"n48dff1df249f","【都道府県ランキング】日曜大工をする人が多い県1位は滋賀県｜東京は45位、格差1.5倍の実態","https://note.com/stats47/n/n48dff1df249f","recovered-n48dff1df249f","configured","observed","129","7","1","0","0","true","2026-08-15","2026-09-11"
"n9dcb0680cea6","【2021年版】絵画・彫刻の制作をした人が多い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/n9dcb0680cea6","recovered-n9dcb0680cea6","configured","observed","127","9","0","0","0","true","2026-08-15","2026-09-11"
"n80e58a01f660","【都道府県ランキング】1人当たり県民所得1位は東京都5,214千円｜47位の沖縄県と2.4倍の格差","https://note.com/stats47/n/n80e58a01f660","recovered-n80e58a01f660","configured","observed","124","560","1","0","0","true","2026-08-15","2026-09-11"
"nc0e7474b34e1","【2021年版】登山・ハイキングをした人が多い県は？ 1位は東京都・兵庫県｜都道府県ランキング","https://note.com/stats47/n/nc0e7474b34e1","recovered-nc0e7474b34e1","configured","observed","122","30","0","0","0","true","2026-08-15","2026-09-11"
"naa474d085c7b","【2021年版】つりをした人が多い県は？ 1位は広島県｜都道府県ランキング","https://note.com/stats47/n/naa474d085c7b","recovered-naa474d085c7b","configured","observed","117","27","0","0","0","true","2026-08-15","2026-09-11"
"n55cd6de6a733","【2021年版】テニスをした人が多い県は？ 1位は神奈川県｜都道府県ランキング","https://note.com/stats47/n/n55cd6de6a733","recovered-n55cd6de6a733","configured","observed","114","36","0","0","0","true","2026-08-15","2026-09-11"
"n250b7aab145f","【2021年版】スキー・スノーボードをした人が多い県は？ 1位は北海道｜都道府県ランキング","https://note.com/stats47/n/n250b7aab145f","recovered-n250b7aab145f","configured","observed","110","7","0","0","0","true","2026-08-15","2026-09-11"
"n16950238dfd8","【2022年度】都道府県「財政力指数」ランキング｜唯一の1.0超え東京都、茨城8位の意外","https://note.com/stats47/n/n16950238dfd8","recovered-n16950238dfd8","configured","observed","109","298","0","0","0","true","2026-08-15","2026-09-11"
"n97ddfadff36a","【2024年版】年平均気温が最も高い県は？ 1位は沖縄県｜都道府県ランキング","https://note.com/stats47/n/n97ddfadff36a","a-average-temperature","configured","observed","108","10","0","0","0","false","2026-08-15","2026-09-11"
"ndc600ddb7c44","エアコン普及率、徳島vs北海道で11倍格差！あなたの地域は本当に「普通」？","https://note.com/stats47/n/ndc600ddb7c44","recovered-ndc600ddb7c44","configured","observed","108","7","0","0","0","true","2026-08-15","2026-09-11"
"n7ba6c516c1e9","「たくさん買う県」と「高いものを買う県」── 家計調査の支出額を数量と価格に分解する","https://note.com/stats47/n/n7ba6c516c1e9","b-kakei-quantity-price","configured","observed","108","5","1","0","0","false","2026-08-15","2026-09-11"
"ncd0aea7cd435","【2023年版】後期高齢者医療費が最も多い県は？ 1位は福岡県｜都道府県ランキング","https://note.com/stats47/n/ncd0aea7cd435","a-late-elderly-medical-expense-per-insured","configured","observed","104","7","1","0","0","false","2026-08-15","2026-09-11"
"n99f53e7a1f33","救急車を最も呼ぶのは大阪府！福井県との差は1.7倍。あなたの街の救急医療は大丈夫？","https://note.com/stats47/n/n99f53e7a1f33","recovered-n99f53e7a1f33","configured","observed","104","6","0","0","0","true","2026-08-15","2026-09-11"
"ncbfe818867f4","ネクタイとストッキングはどれだけ売れなくなったか ── 家計調査で見る市場の縮小","https://note.com/stats47/n/ncbfe818867f4","b-kakei-necktie-decline","configured","observed","104","6","1","0","0","false","2026-08-15","2026-09-11"
"nb149e4940b5f","住民問い合わせ FAQ を Claude Code で自動生成","https://note.com/stats47/n/nb149e4940b5f","19-faq-auto-generation","configured","observed","103","2","0","0","0","true","2026-08-15","2026-09-11"
"nf28da95897e0","【2014年版・製造業】事業所数が最も多い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/nf28da95897e0","a-number-of-establishments-manufacturing","configured","observed","101","4","0","0","0","false","2026-08-15","2026-09-11"
"n2ed31d721531","財政健全化法の4指標で見る都道府県ランキング｜赤字比率は全県クリア、差がつくのは借金の重さ","https://note.com/stats47/n/n2ed31d721531","paid-n2ed31d721531","configured","observed","98","739","0","0","0","true","2026-08-15","2026-09-11"
"n2f50bb479647","「ぎょうざ消費日本一」は何を数えていて、何を数えていないのか","https://note.com/stats47/n/n2f50bb479647","b-kakei-gyoza-counting","configured","observed","98","7","1","0","0","false","2026-08-15","2026-09-11"
"n311eeeba660b","苦情メール返信案を 5 パターン出す prompt","https://note.com/stats47/n/n311eeeba660b","20-complaint-reply-patterns","configured","observed","97","0","0","0","0","true","2026-08-15","2026-09-11"
"n27d2efa9bcfb","【2024年版】民営賃貸住宅の家賃が最も多い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/n27d2efa9bcfb","a-private-rental-housing-rent-per-3-3m2","configured","observed","92","6","1","0","0","false","2026-08-15","2026-09-11"
"ncc56ff8990d0","和歌山県の家計は何にお金が偏っているか ── 教育費は十大費目で最低、しらす干しに2倍超の支出","https://note.com/stats47/n/ncc56ff8990d0","a-kakei-wakayama","configured","observed","89","1","0","0","0","false","2026-08-15","2026-09-11"
"n04d95ae14bc1","【2022年度】都道府県「実質公債費比率」ランキング｜北海道18.9%で47位、東京都はわずか1.2%","https://note.com/stats47/n/n04d95ae14bc1","recovered-n04d95ae14bc1","configured","observed","87","593","1","0","0","true","2026-08-15","2026-09-11"
"na16afa534c77","【格差41倍】都道府県「実質収支比率」ランキング｜東京8.2％、長崎0.2％の財政格差","https://note.com/stats47/n/na16afa534c77","paid-na16afa534c77","configured","observed","87","20","0","0","0","true","2026-08-15","2026-09-11"
"n0bd95dda8588","e-Stat 統計の前年比較・5 年トレンド・増減ランキングを自動化する","https://note.com/stats47/n/n0bd95dda8588","07-year-on-year-diff","configured","observed","87","1","0","0","0","true","2026-08-15","2026-09-11"
"nce1681932f40","議会答弁・県民向けチャートを Claude Code で生成 — D3 / Recharts / matplotlib 使い分け","https://note.com/stats47/n/nce1681932f40","09-assembly-chart-generation","configured","observed","87","1","0","0","0","true","2026-08-15","2026-09-11"
"n92b846280d1a","年収で「塾代」は56倍違う──家計調査 五分位階級別 159品目×25年分CSVデータセット","https://note.com/stats47/n/n92b846280d1a","paid-n92b846280d1a","configured","observed","84","22","0","0","0","true","2026-08-15","2026-09-11"
"n567416b632f6","【2022年度】都道府県「実質収支比率」ランキング｜島根県7.5%でトップ、長崎県0.3%で余裕なし","https://note.com/stats47/n/n567416b632f6","recovered-n567416b632f6","configured","observed","82","29","0","0","0","true","2026-08-15","2026-09-11"
"n89f8035eb53d","【2024年版】最も消費支出が多い県は？ 1位は埼玉県｜都道府県ランキング","https://note.com/stats47/n/n89f8035eb53d","a-consumption-expenditure-multi-person-households-per-month","configured","observed","81","8","0","0","0","false","2026-08-15","2026-09-11"
"n13bca568c98a","富山県の家計は何にお金が偏っているか ── 光熱費は全国屈指、教育費は控えめな富山市の懐事情","https://note.com/stats47/n/n13bca568c98a","a-kakei-toyama","configured","observed","80","6","2","0","0","false","2026-08-15","2026-09-11"
"n86ef06aa91dc","【2025年版・年間販売額】コンビニエンスストア販売額が最も多い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/n86ef06aa91dc","a-convenience-store-sales","configured","observed","79","0","1","0","0","false","2026-08-15","2026-09-11"
"n2406ded99484","【格差7.3倍】都道府県「一般行政部門職員数」ランキング｜東京2万人超、地方は3千人以下","https://note.com/stats47/n/n2406ded99484","paid-n2406ded99484","configured","observed","78","26","0","0","0","true","2026-08-15","2026-09-11"
"n002bee397931","【2023年版・総住宅数に占める空き家の割合】空き家率が最も高い県は？ 1位は徳島県｜都道府県ランキング","https://note.com/stats47/n/n002bee397931","a-vacant-housing-rate","configured","observed","77","2","1","0","0","false","2026-08-15","2026-09-11"
"n0fd0305a6b8c","栃木県の家計は何にお金が偏っているか ── 交通・通信費が際立つ宇都宮市の暮らし","https://note.com/stats47/n/n0fd0305a6b8c","a-kakei-tochigi","configured","observed","77","1","1","0","0","false","2026-08-15","2026-09-11"
"nadfe03f70c45","【2024年版】鉄道駅数が最も多い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/nadfe03f70c45","a-railway-station-count","configured","observed","76","5","0","0","0","false","2026-08-15","2026-09-11"
"n347f923606f1","MCP sqlite で自前 DB と e-Stat を連携 — stats47 のような統計ダッシュボードを職場で再現","https://note.com/stats47/n/n347f923606f1","11-mcp-sqlite-search","configured","observed","76","2","0","0","0","true","2026-08-15","2026-09-11"
"n4b8346d9c17b","【2021年度】自主財源比率ランキング！東京76%、高知24.1%で格差3.15倍の衝撃","https://note.com/stats47/n/n4b8346d9c17b","paid-n4b8346d9c17b","configured","observed","74","30","0","0","0","true","2026-08-15","2026-09-11"
"n2e5601e5d4e2","【2023年版・合計（高速道路を除く）】道路実延長が最も長い県は？ 1位は北海道｜都道府県ランキング","https://note.com/stats47/n/n2e5601e5d4e2","a-road-total-length","configured","observed","74","3","0","0","0","false","2026-08-15","2026-09-11"
"n88dde65e0774","山口県の家計は何にお金が偏っているか ── 教育費は全国最低水準、婚礼費は10倍超の山口市","https://note.com/stats47/n/n88dde65e0774","a-kakei-yamaguchi","configured","observed","73","1","1","0","0","false","2026-08-15","2026-09-11"
"nb7cfd81af156","福岡県の家計は何にお金が偏っているか ── たらことバス通勤に見る福岡市の暮らし","https://note.com/stats47/n/nb7cfd81af156","a-kakei-fukuoka","configured","observed","72","2","0","0","0","false","2026-08-15","2026-09-11"
"na3d645a7d50c","山形県の家計は何にお金が偏っているか ── 灯油とカーテンに表れる雪国の対策費","https://note.com/stats47/n/na3d645a7d50c","a-kakei-yamagata","configured","observed","71","2","1","0","0","false","2026-08-15","2026-09-11"
"n9d384a674462","東京都の家計は何にお金が偏っているか ── 教育費2.09倍と家賃地代8倍に表れる都心の暮らし","https://note.com/stats47/n/n9d384a674462","a-kakei-tokyo","configured","observed","71","1","1","0","0","false","2026-08-15","2026-09-11"
"n1374350f7172","【2022年版】1人当たり最終エネルギー消費量が最も多い県は？ 1位は大分県｜都道府県ランキング","https://note.com/stats47/n/n1374350f7172","a-final-energy-consumption-per-capita","configured","observed","70","3","0","0","0","false","2026-08-15","2026-09-11"
"n1b9bf465327d","群馬県の家計は何にお金が偏っているか ── 住居費の低さと車社会が映る前橋市の暮らし","https://note.com/stats47/n/n1b9bf465327d","a-kakei-gunma","configured","observed","70","1","0","0","0","false","2026-08-15","2026-09-11"
"n78ffa2c7da3b","学力テスト上位の県は何を食べているのか ── 符合を相関で終わらせないために","https://note.com/stats47/n/n78ffa2c7da3b","b-kakei-academic-food","configured","observed","69","4","1","0","0","false","2026-08-15","2026-09-11"
"n39016e5f0002","北海道の家計は何にお金が偏っているか ── 住居費1.27倍に表れる雪国の暮らし","https://note.com/stats47/n/n39016e5f0002","a-kakei-hokkaido","configured","observed","69","3","0","0","0","false","2026-08-15","2026-09-11"
"nda72a0bed2c4","愛知県の家計は何にお金が偏っているか ── 住居費最少、たんすと婚礼に厚い名古屋市の暮らし","https://note.com/stats47/n/nda72a0bed2c4","a-kakei-aichi","configured","observed","68","4","0","0","0","false","2026-08-15","2026-09-11"
"n71b4f712bea4","【2023年版】電力需要量が最も多い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/n71b4f712bea4","a-electricity-demand","configured","observed","67","0","0","0","0","false","2026-08-15","2026-09-11"
"n0be24c40b88d","広島県の家計は何にお金が偏っているか ── 教育費は控えめ、かきに厚みが出る広島市の暮らし","https://note.com/stats47/n/n0be24c40b88d","a-kakei-hiroshima","configured","observed","66","2","1","0","0","false","2026-08-15","2026-09-11"
"n18bb5a58060c","福井県の家計は何にお金が偏っているか ── 住居費とカーテンに見る福井市のマイホーム志向","https://note.com/stats47/n/n18bb5a58060c","a-kakei-fukui","configured","observed","66","2","1","0","0","false","2026-08-15","2026-09-11"
"n2a18f8e7098c","京都府の家計は何にお金が偏っているか ── 教育費が47市平均の1.4倍に達する京都市の暮らし","https://note.com/stats47/n/n2a18f8e7098c","a-kakei-kyoto","configured","observed","65","1","1","0","0","false","2026-08-15","2026-09-11"
"na3020a08cef7","岩手県の家計は何にお金が偏っているか ── 住まいの修繕費に出る雪国の負担","https://note.com/stats47/n/na3020a08cef7","a-kakei-iwate","configured","observed","65","1","0","0","0","false","2026-08-15","2026-09-11"
"ne31a2574e231","【2022年度】都道府県「経常収支比率」ランキング｜100%超えの大阪府、東京都は全国最低の79.5%","https://note.com/stats47/n/ne31a2574e231","recovered-ne31a2574e231","configured","observed","64","148","0","0","0","true","2026-08-15","2026-09-11"
"ne0d53bfef7ed","【都道府県ランキング】持ち家比率1位は秋田県77.1％｜47位の沖縄県と1.8倍の格差","https://note.com/stats47/n/ne0d53bfef7ed","recovered-ne0d53bfef7ed","configured","observed","63","1439","2","0","0","true","2026-08-15","2026-09-11"
"nc3a7ebf40516","食パンは値上がりすると売れる ── 家計調査で確かめるギッフェン財の条件","https://note.com/stats47/n/nc3a7ebf40516","b-kakei-bread-giffen","configured","observed","63","2","0","0","0","false","2026-08-15","2026-09-11"
"n24d6b689079d","鳥取県の家計は何にお金が偏っているか ── 住居費がかさむ鳥取市と梨・カニの恵み","https://note.com/stats47/n/n24d6b689079d","a-kakei-tottori","configured","observed","63","1","1","0","0","false","2026-08-15","2026-09-11"
"nb479aff3cf05","宮城県の家計は何にお金が偏っているか ── 住居費1.67倍に表れる仙台一極集中","https://note.com/stats47/n/nb479aff3cf05","a-kakei-miyagi","configured","observed","62","3","0","0","0","false","2026-08-15","2026-09-11"
"n686dcc017bbe","自治体職員のためのGIS入門 — 無料の国土数値情報で「過疎地域×医療機関」を可視化する","https://note.com/stats47/n/n686dcc017bbe","koumuin-gis-01-depopulation-medical","configured","observed","61","6","0","0","0","true","2026-08-15","2026-09-11"
"nd93084c0cb0c","【2020年版】一般世帯数が最も多い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/nd93084c0cb0c","a-general-households","configured","observed","61","3","1","0","0","false","2026-08-15","2026-09-11"
"n65d95575f7a5","茨城県の家計は何にお金が偏っているか ── メロンと車社会が映す水戸市の暮らし","https://note.com/stats47/n/n65d95575f7a5","a-kakei-ibaraki","configured","observed","61","1","0","0","0","false","2026-08-15","2026-09-11"
"nded2d34fc978","財政力7位なのに借金1位？都道府県「稼ぐ力」と「借金」のギャップを可視化してみた","https://note.com/stats47/n/nded2d34fc978","recovered-nded2d34fc978","configured","observed","60","78","0","0","0","true","2026-08-15","2026-09-11"
"nc5a1358141a5","e-Stat API キー取得から Claude Code 連携まで — 30 分で完了する初期設定","https://note.com/stats47/n/nc5a1358141a5","01-estat-api-key-setup","configured","observed","59","9","0","0","0","true","2026-08-15","2026-09-11"
"ndf2afaef16c0","石川県の家計は何にお金が偏っているか ── 交通・通信費1.28倍に見る金沢市のクルマ社会","https://note.com/stats47/n/ndf2afaef16c0","a-kakei-ishikawa","configured","observed","59","0","0","0","0","false","2026-08-15","2026-09-11"
"n85831c0c47aa","青森県の家計は何にお金が偏っているか ── 灯油とほたて貝が語る冬の家計","https://note.com/stats47/n/n85831c0c47aa","a-kakei-aomori","configured","observed","58","5","0","0","0","false","2026-08-15","2026-09-11"
"ne2abc0fc7530","徳島県の家計は何にお金が偏っているか ── 教育費1.47倍で際立つ徳島市の家計","https://note.com/stats47/n/ne2abc0fc7530","a-kakei-tokushima","configured","observed","58","2","1","0","0","false","2026-08-15","2026-09-11"
"n53c16adaf2c7","月次の e-Stat 集計を .claude/skills で 1 コマンド化する — 定型業務をスキル化する設計","https://note.com/stats47/n/n53c16adaf2c7","10-claude-skills-routinize","configured","observed","58","1","0","0","0","true","2026-08-15","2026-09-11"
"na895280512fc","【2024年版】客室稼働率が最も高い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/na895280512fc","a-room-utilization-rate","configured","observed","57","3","0","0","0","false","2026-08-15","2026-09-11"
"n5b11edb996f3","ビールが最も売れる月は7月ではなくなった ── 家計調査20年の月次で見る","https://note.com/stats47/n/n5b11edb996f3","b-kakei-beer-peak-month","configured","observed","56","7","1","0","0","false","2026-08-15","2026-09-11"
"n366d898d8107","奈良県の家計は何にお金が偏っているか ── 教育費1.74倍、私立小学校圏に透ける奈良市の暮らし","https://note.com/stats47/n/n366d898d8107","a-kakei-nara","configured","observed","56","3","1","0","0","false","2026-08-15","2026-09-11"
"n5e9502c6507c","秋田県の家計は何にお金が偏っているか ── 灯油とストーブに出る雪国の暮らし、教育費は平均の4分の1","https://note.com/stats47/n/n5e9502c6507c","a-kakei-akita","configured","observed","56","1","0","0","0","false","2026-08-15","2026-09-11"
"n757284230786","沖縄県の家計は何にお金が偏っているか ── 住居費1.33倍とコートいらずの那覇市の暮らし","https://note.com/stats47/n/n757284230786","a-kakei-okinawa","configured","observed","55","3","0","0","0","false","2026-08-15","2026-09-11"
"n37ab621d01ad","大分県の家計は何にお金が偏っているか ── クルマ社会が映る大分市の交通・通信費","https://note.com/stats47/n/n37ab621d01ad","a-kakei-oita","configured","observed","55","2","1","0","0","false","2026-08-15","2026-09-11"
"n4c363c356b63","福島県の家計は何にお金が偏っているか ── 住居費が47市平均の6割に届かない福島市の暮らし","https://note.com/stats47/n/n4c363c356b63","a-kakei-fukushima","configured","observed","55","2","0","0","0","false","2026-08-15","2026-09-11"
"n6136c0f13156","岐阜県の家計は何にお金が偏っているか ── 住居費0.56倍という際立った低さ","https://note.com/stats47/n/n6136c0f13156","a-kakei-gifu","configured","observed","55","2","0","0","0","false","2026-08-15","2026-09-11"
"n1972caf5203d","佐賀県の家計は何にお金が偏っているか ── 住居費は平均の半分、自動車購入は2.25倍の佐賀市の暮らし","https://note.com/stats47/n/n1972caf5203d","a-kakei-saga","configured","observed","55","1","0","0","0","false","2026-08-15","2026-09-11"
"n3416a225e0c6","山梨県の家計は何にお金が偏っているか ── 通勤定期より自動車教習に出る甲府市の交通費","https://note.com/stats47/n/n3416a225e0c6","a-kakei-yamanashi","configured","observed","54","1","0","0","0","false","2026-08-15","2026-09-11"
"n7f0be4fef37c","宮崎県の家計は何にお金が偏っているか ── 焼酎と教育費に表れる宮崎市の家計事情","https://note.com/stats47/n/n7f0be4fef37c","a-kakei-miyazaki","configured","observed","54","1","0","0","0","false","2026-08-15","2026-09-11"
"n23262330a5e5","e-Stat の Excel/CSV を Claude Code で整形する — 多シート・セル結合・元号西暦の処理","https://note.com/stats47/n/n23262330a5e5","04-excel-download-and-parse","configured","observed","54","0","0","0","0","true","2026-08-15","2026-09-11"
"n5f183fcf5b97","【2022年度】都道府県「将来負担比率」ランキング｜兵庫県330.8%で断トツ、東京都はわずか17.3%","https://note.com/stats47/n/n5f183fcf5b97","recovered-n5f183fcf5b97","configured","observed","53","143","1","0","0","true","2026-08-15","2026-09-11"
"ne788feae75bf","岡山県の家計は何にお金が偏っているか ── 家具・家事用品が突出、暖房費は47市平均の4分の1","https://note.com/stats47/n/ne788feae75bf","a-kakei-okayama","configured","observed","53","2","0","0","0","false","2026-08-15","2026-09-11"
"n0477d544669b","人口当たり指標・順位・偏差を計算する — pandas / DuckDB で派生指標を 5 行で出す","https://note.com/stats47/n/n0477d544669b","05-pandas-duckdb-derived-metrics","configured","observed","53","1","0","0","0","true","2026-08-15","2026-09-11"
"nd4afc48385a3","他自治体ベンチマーク表を 5 分で作る — 議会答弁・議事用の比較資料を自動生成","https://note.com/stats47/n/nd4afc48385a3","08-benchmark-table-5min","configured","observed","52","0","0","0","0","true","2026-08-15","2026-09-11"
