rank,ranking_key,title,impressions,clicks,ctr_avg,position_avg,has_ai_content
53,soy-sauce-consumption-quantity,しょう油消費量,23,0,0.0000,7.13,1
54,croquette-consumption-expenditure,コロッケ消費支出額,22,3,0.1364,7.05,1
55,chocolate-snack-consumption-expenditure,チョコレート菓子消費支出額,22,2,0.0909,8.36,1
56,burdock-consumption-expenditure,ごぼう消費支出額,22,0,0.0000,9.23,1
57,leek-consumption-quantity,ねぎ消費量,21,1,0.0476,7.67,1
58,other-allowance-consumption-expenditure,他のこづかい消費支出額,21,0,0.0000,9.00,1
59,whisky-consumption-quantity,ウイスキー消費量,21,0,0.0000,8.57,1
60,wine-consumption-quantity,ワイン消費量,21,0,0.0000,8.48,1
61,current-liabilities-balance-multi-person-households-per-household,負債現在高,20,0,0.0000,11.40,1
62,ketchup-consumption-expenditure,ケチャップ消費支出額,20,0,0.0000,7.60,1
63,pudding-consumption-expenditure,プリン消費支出額,20,0,0.0000,6.80,1
64,total-overnight-guests-foreign,外国人延べ宿泊者数,20,0,0.0000,8.00,1
65,jam-consumption-expenditure,ジャム消費支出額,19,0,0.0000,8.53,1
66,number-of-hotel-rooms,ホテル営業施設客室数,19,0,0.0000,6.68,1
67,laundry-detergent-consumption-expenditure,洗濯用洗剤消費支出額,18,0,0.0000,7.44,1
68,onion-consumption-quantity,たまねぎ消費量,18,0,0.0000,8.00,1
69,other-bread-consumption-quantity,他のパン消費量,18,0,0.0000,10.22,1
70,coffee-consumption-quantity,コーヒー消費量,17,1,0.0588,8.18,1
71,sewage-treatment-coverage-rate,汚水処理人口普及率,17,1,0.0588,13.71,1
72,bean-sprouts-consumption-expenditure,もやし消費支出額,17,0,0.0000,7.76,1
73,commute-by-car,自宅外通勤・通学者数（自家用車）,17,0,0.0000,6.88,1
74,drinking-out-consumption-expenditure,飲酒代消費支出額,17,0,0.0000,7.18,1
75,flood-damage-total,水害被害額合計,17,0,0.0000,14.82,1
76,frozen-food-consumption-expenditure,冷凍調理食品消費支出額,17,0,0.0000,8.00,1
77,yakiniku-consumption-expenditure,焼肉消費支出額,17,0,0.0000,8.94,1
78,hamburg-steak-consumption-expenditure,ハンバーグ消費支出額,16,2,0.1250,6.56,1
79,carrot-consumption-quantity,にんじん消費量,16,0,0.0000,6.56,1
80,miso-consumption-expenditure,みそ消費支出額,16,0,0.0000,10.94,1
81,mochi-consumption-expenditure,もち消費支出額,16,0,0.0000,9.00,1
82,octopus-consumption-quantity,たこ消費量,16,0,0.0000,8.44,1
83,other-staple-prepared-consumption-expenditure,他の主食的調理食品消費支出額,16,0,0.0000,4.94,1
84,treatment-rate-diabetes-outpatient,糖尿病の受療率（外来）,16,0,0.0000,8.06,1
85,dressing-consumption-quantity,ドレッシング消費量,15,1,0.0667,7.00,1
86,barber-beauty-salon-count,理容・美容所数,15,0,0.0000,6.73,1
87,education-expenditure-ratio-multi-person-households,教育費割合,15,0,0.0000,6.13,1
88,salted-salmon-consumption-quantity,塩さけ消費量,15,0,0.0000,9.60,1
89,unmarried-ratio-male-45-49,未婚者割合,15,0,0.0000,3.13,1
90,vinegar-consumption-quantity,酢消費量,15,0,0.0000,7.00,1
91,whitebait-consumption-quantity,しらす干し消費量,14,2,0.1429,6.79,1
92,cheese-consumption-quantity,チーズ消費量,14,0,0.0000,6.79,1
93,gross-prefectural-product-manufacturing-h27,県内総生産額,14,0,0.0000,10.21,0
94,instant-noodles-consumption-quantity,即席麺消費量,14,0,0.0000,8.86,1
95,paved-road-municipal-length,舗装道路実延長（市町村道）,14,0,0.0000,8.86,1
96,per-capita-kenmin-shotoku-h17,1人当たり県民所得,14,0,0.0000,18.71,1
97,post-office-count,郵便局数,14,0,0.0000,10.21,1
98,skin-lotion-consumption-expenditure,化粧水消費支出額,14,0,0.0000,10.57,1
99,university-graduates-job-ratio,大学卒業者に占める就職者の割合,14,0,0.0000,5.21,1
100,white-bread-consumption-expenditure,食パン消費支出額,13,1,0.0769,8.69,1
