landingPage,sessions,engagedSessions,avgEngagementSec,pagesPerSession,desktopShare,workdayHoursShare
/ranking/table-salt-consumption-quantity,55,43,88.3,1.95,0.927,0.644
/blog/wheat-flour-consumption-prefecture,51,34,51.9,1.41,0.216,0.296
/ranking/beef-consumption-quantity,51,38,51.5,1.94,0.529,0.352
/ranking/coffee-consumption-quantity,51,38,51.9,3.57,0.608,0.566
/ranking/cake-consumption-expenditure,49,33,43,3.63,0.286,0.18
/blog/marriage-unmarried-crisis,48,35,44,1.5,0.375,0.538
/blog/water-sewage-crisis,47,39,84.8,1.23,0.979,0.708
/blog/manufacturing-productivity,46,32,65.5,1.09,0.543,0.413
/ranking/manufacturing-shipment-amount,45,34,45.6,2.04,0.978,0.633
/blog/energy-infrastructure-gas-electricity,44,37,70.6,1.43,0.545,0.578
/blog/food-spending-pattern,44,37,74.6,1.73,0.636,0.383
/blog/high-school-teacher-salary-prefecture-gap,44,37,54.3,1.07,0.159,0.341
/ranking/miso-consumption-quantity,44,27,49.6,2.48,0.5,0.522
/blog/household-solo-vs-dualincome,43,39,59.5,1.67,0.93,0.638
/ranking/pickled-plum-consumption-quantity,43,31,40.7,2.09,0.395,0.372
/ranking/treatment-rate-hypertension-outpatient,43,31,51.6,3.44,0.581,0.458
/blog/household-structure-transformation,42,28,69.5,2.67,0.619,0.465
/ranking/peach-consumption-quantity,42,26,34.4,1.38,0.262,0.186
/ranking/pork-consumption-quantity,42,27,55.2,2.81,0.548,0.587
/ranking/sauce-consumption-quantity,42,29,39.4,2.21,0.595,0.444
/ranking/bonito-consumption-quantity,41,33,49.5,1.68,0.537,0.37
/ranking/engel-coefficient,41,32,91.4,3.54,0.756,0.432
/blog/estat-7-techniques-from-unusable-to-usable,40,32,99.5,1.82,0.95,0.707
/ranking/real-public-debt-service-ratio,40,34,50.4,4.25,0.5,0.452
/blog/academic-achievement-test-prefecture-ranking,39,37,109.5,1.72,0.385,0.341
/blog/real-income-taxpayer,39,21,59.3,1.49,0.154,0.39
/ranking/cocoa-consumption-expenditure,39,21,18.6,1.1,0.077,0.051
/ranking/cup-noodles-consumption-quantity,38,28,30.6,1.84,0.421,0.538
/ranking/school-teacher-annual-income,38,29,20,1.32,0.105,0.289
/ranking/soba-udon-dining-consumption-expenditure,37,27,30,2.22,0.243,0.459
/blog/curry-roux-consumption-gap,36,25,38,2.31,0.472,0.378
/blog/renewable-energy-regional-gap,36,31,45.3,1.5,0.861,0.514
/ranking/elementary-school-children-count,36,19,36.8,1.72,0.417,0.405
/blog/abortion-rate-prefecture-gap,35,25,65.3,1.37,0.457,0.459
/ranking/treatment-rate-schizophrenia-inpatient,35,21,40.6,1.4,0.229,0.278
/blog/fiscal-self-reliance-gap,34,33,77.9,1.47,0.471,0.559
/blog/households-on-public-assistance-per-1000-prefecture-gap,34,22,75.1,1.06,0.324,0.371
/ranking/cut-flowers-consumption-expenditure,34,20,25.1,1.76,0.441,0.529
/ranking/annual-precipitation,33,23,78.9,2.67,0.939,0.639
/ranking/hamburger-consumption-expenditure,33,21,30.2,1.52,0.333,0.514
/blog/nursing-care-shortage-2040,32,24,118.4,1.63,0.813,0.706
/blog/police-officer-density-vs-crime-gap,32,21,71.2,1.47,0.25,0.515
/ranking/habitable-area,32,25,61.1,3.78,0.906,0.528
/blog/dining-out-expenditure-ranking,31,24,83.4,2.9,0.323,0.406
/blog/sunshine-pacific-vs-nihonkai,30,18,58.9,1.4,0.367,0.452
/blog/unemployment-structure,30,21,57.9,1.7,0.433,0.406
/ranking/sports-spectating-consumption-expenditure,30,25,78.7,3.2,0.6,0.484
/blog/avg-height-high-school-2nd-male,29,17,51.2,1.52,0.103,0.29
/blog/divorces-per-total-population,29,25,82.8,3.17,1,0.576
/ranking/toilet-paper-consumption-expenditure,28,22,52.4,1.75,0.357,0.483
/blog/habitable-area-land-use,27,21,67.2,1.74,0.407,0.464
/blog/wind-power-capacity-prefecture-gap,27,19,75.2,1.48,0.444,0.464
/ranking/library-books,27,9,19.8,1.19,0.37,0.25
/ranking/road-total-length,27,19,58.6,2.22,0.481,0.517
/blog/unmarried-rate-40years-crisis,26,24,57.2,1.31,0.885,0.654
/ranking/apple-consumption-quantity,26,20,86.6,7.46,0.5,0.464
/ranking/neonatal-mortality-rate-per-1000-births,26,25,28.1,1.04,0.923,0.37
/areas/14000/fishery-marine,25,18,26.2,2.04,0.84,0.741
/blog/konnyaku-expenditure-ranking,25,21,62.7,1.56,0.44,0.481
/blog/population-density-urbanization,25,20,88.9,1.32,0.44,0.259
/ranking/designated-difficult-disease,25,15,37.4,1.4,0.56,0.56
/ranking/dining-out-consumption-expenditure,25,19,37.2,1.72,0.76,0.538
/ranking/retail-store-count,25,11,21,1.76,0.44,0.5
/blog/annual-precipitation-rainy-season-gap,24,17,111.2,2.17,0.875,0.56
/blog/municipalities-without-schools,24,19,40.1,1,0.625,0.542
/blog/tofu-consumption-prefecture-gap,24,18,42.1,1.58,0.625,0.692
/blog/university-advancement-capacity,24,19,95.2,1.54,0.792,0.458
/ranking/consumption-expenditure-multi-person-households-per-month,24,17,71.5,2.71,0.5,0.538
/ranking/voluntary-car-insurance-rate-bodily-injury,24,14,52.5,3,0.333,0.5
/ranking/white-bread-consumption-quantity,24,19,49.7,2.38,0.917,0.654
/blog/library-museum-cultural-capital,23,18,78.3,2.04,0.565,0.391
/ranking/abortion-rate,23,19,39,1.7,0.174,0.5
/ranking/national-pension-full-exemption-rate,23,13,11.5,1,0.043,0.13
/ranking/coffee-consumption-expenditure,22,14,34,2.86,0.227,0.304
/ranking/laspeyres-index-prefecture,22,17,49.6,2.09,1,0.739
/ranking/pasta-consumption-quantity,22,17,41.5,1.91,0.273,0.273
/ranking/rice-cracker-consumption-expenditure,22,17,86.8,3.95,0.545,0.625
/ranking/taro-consumption-quantity,22,15,46,1.05,0.364,0.391
/ranking/tobacco-consumption-expenditure,22,14,19,1,0.409,0.4
/blog/frozen-gyoza-spending-prefecture-gap,21,13,62.8,3.33,0.476,0.333
/blog/icecream-consumption-expenditure,21,15,74.6,1.71,0.286,0.524
/blog/urban-parks-green-infrastructure,21,13,40.9,1.38,0.857,0.476
/ranking/agricultural-output,21,16,159.7,5.57,0.905,0.652
/ranking/chocolate-consumption-expenditure,21,13,10.5,1.67,0.238,0.545
/ranking/fiscal-strength-index-prefecture,21,17,108.2,3.29,0.238,0.5
/ranking/future-population,21,15,76.3,3,0.762,0.571
/ranking/psychiatric-bed-count,21,9,61,7.57,0.333,0.182
/ranking/sole-proprietor-sales,21,9,14.6,2.1,0.286,0.429
/ranking/tissue-paper-consumption-expenditure,21,12,45.8,1.62,0.238,0.273
/ranking/voluntary-car-insurance-rate-vehicle,21,18,66.7,3.14,0.476,0.429
/themes/aging-society,21,15,94.8,7.67,0.667,0.5
/blog/chocolate-expenditure-ranking,20,12,16.8,2.1,0.15,0.143
/blog/food-consumption-prefecture-battle,20,14,60.6,2.3,0.25,0.409
/blog/prefecture-population-city-concentration,20,17,59.1,1.8,0.3,0.35
/blog/sake-consumption-prefecture-gap,20,13,66.2,1.4,0.5,0.381
/blog/workplace-accident-regional-map,20,15,37,2.05,0.45,0.6
/ranking/average-temperature,20,11,19.4,1.55,0.9,0.5
/ranking/fishery-workers,20,16,127.3,4.65,0.65,0.524
/ranking/konbu-consumption-expenditure,20,14,31.1,2.9,1,0.667
/ranking/local-tax-prefecture,20,11,42.6,1.6,0.3,0.333
/ranking/peach-consumption-expenditure,20,17,33.7,2.05,0.25,0.25
/ranking/physical-disability-certificates-issued,20,15,22,1.05,0.35,0.571
/blog/distinctive-place-name-kanji-by-prefecture,19,13,37.4,1.05,0.316,0.35
/blog/education-cost-per-child,19,19,103.3,1.26,0.737,0.476
/blog/future-population-tokyo-paradox,19,18,72.2,1.68,0.579,0.15
/blog/highway-japan-58years,19,13,61.4,1,0.947,0.455
/category/commercial,19,15,201.1,9.84,0.789,0.5
/ranking/ambulance-hospital-arrival-time,19,6,25.1,1.47,0.895,0.65
/ranking/annual-clear-days,19,14,59.2,1.89,0.368,0.409
/ranking/avg-salary-police-prefecture,19,14,21.2,1.05,0.211,0.316
/ranking/bread-consumption-expenditure,19,13,56.7,3,0.684,0.842
/ranking/education-expenditure-ratio-multi-person-households,19,14,52.4,1.32,0.684,0.619
/ranking/gasoline-consumption-quantity,19,13,25.2,2.63,0.579,0.526
/ranking/infant-mortality-rate-per-1000-births,19,16,35.4,1.11,1,0.421
/ranking/sleep-avg-time-male,19,18,86.7,2.37,1,0.526
/ranking/wheat-flour-consumption-quantity,19,16,53.7,2.42,0.579,0.579
/blog/development-history-place-name-map,18,15,40.3,1.11,0.556,0.45
/blog/education-expenses-gap,18,16,26.9,1.11,0.944,0.632
/municipalities/ranking/annual-sales-amount,18,15,139.9,5.28,0.389,0.238
/ranking/fresh-udon-soba-consumption-quantity,18,15,41.6,2.56,0.444,0.667
/ranking/katsuobushi-consumption-quantity,18,14,26.1,1.56,0.667,0.526
/ranking/subsidy-expenses-prefecture,18,10,36.7,1.11,0.421,0.526
/ranking/total-overnight-guests-foreign,18,10,21.8,1.94,0.944,0.611
/blog/home-ownership-rate-ranking,17,13,41.1,1.35,0.471,0.059
/ranking/annual-cloudy-days,17,10,50.4,3.88,0.353,0.556
/ranking/cod-roe-consumption-quantity,17,13,51.9,1.94,0.412,0.353
/ranking/library-lending-books,17,11,14.5,1.12,0.412,0.235
/ranking/railway-passengers,17,9,56.5,2,0.882,0.412
/blog/fertility-rate-prefecture-gap,16,10,36.5,1.06,0.375,0.556
/blog/fishery-catch-aquaculture-shift,16,12,239.8,3.06,0.875,0.789
/blog/ict-media-consumption-gender-gap,16,10,68.3,2.75,0.813,0.684
/blog/manufacturing-labor-productivity-pref,16,11,108.6,1.13,0.313,0.5
/blog/mochi-consumption-prefecture-gap,16,12,39.9,1.5,0.375,0.313
/blog/per-capita-income-gap,16,11,29.8,1.06,0.625,0.438
/ranking/bus-fare-consumption-expenditure,16,13,57.3,1.25,0.313,0.176
/ranking/chicken-consumption-quantity,16,14,243.1,6.13,0.813,0.778
/ranking/drinking-out-consumption-expenditure,16,12,21.6,1.5,0.25,0.353
/ranking/non-regular-employment-rate,16,13,53,1.69,0.625,0.75
/ranking/road-expressway-length,16,7,10,1.06,0.25,0.471
/ranking/sewage-treatment-coverage-rate,16,10,79.3,1.06,0.313,0.471
/ranking/specific-health-checkup-participation-rate,16,9,59.3,4.94,0.813,0.556
/ranking/swimming-pool-public,16,9,35.2,2.56,0.25,0.375
/ranking/water-supply-population,16,8,28.2,3,0.75,0.688
/themes/local-finance,16,13,92.5,5.13,1,0.882
/areas/04000/fishery-marine,15,6,13,1.13,0.267,0.467
/blog/dentist-income-prefecture-gap,15,15,57.6,1,0.133,0.25
/blog/forest-coverage-woodland-economy,15,13,40.8,1.53,1,0.867
/blog/future-burden-ratio-extreme-gap,15,10,45.7,1.07,0.933,0.733
/blog/students-per-teacher-class-size-gap,15,11,42.3,1.73,0.8,0.625
/blog/temperature-extremes-map,15,11,62,1.47,0.467,0.563
/blog/travel-behavior-gender-gap,15,9,53.7,1.73,0.267,0.533
/blog/working-hours-overtime-gap,15,13,73.1,2.07,0.8,0.6
/category/economy,15,10,157.2,7.6,0.6,0.444
/ranking/banana-consumption-quantity,15,11,65,4.6,0.533,0.667
/ranking/densely-populated-area,15,12,14.8,1.13,0.267,0.267
/ranking/public-phone-count,15,13,60.2,1.4,0.6,0.667
/ranking/treatment-rate-diabetes-outpatient,15,12,64.8,5.27,0.8,0.467
/blog/hospital-bed-utilization-map,14,9,30.2,1.43,0.286,0.357
/blog/public-phone-prefecture-vanishing,14,12,65.7,1.07,0.786,0.647
/blog/school-nonattendance-pattern,14,10,66.7,1.14,0.286,0.25
/blog/self-financing-ratio-prefecture-gap,14,12,70.6,1.86,0.8,0.6
/blog/water-infrastructure-crisis,14,9,31.1,2.14,0.714,0.333
/ranking/electricity-consumption-quantity,14,5,23.7,1.57,0.786,0.467
/ranking/garbage-total-output,14,11,21,2.36,0.929,0.6
/ranking/hobby-participation-rate-reading,14,8,44,2.21,0.286,0.357
/ranking/ordinary-construction-expenses-prefecture,14,11,81.8,1.43,0.357,0.867
/ranking/per-capita-police-expenditure-pref-municipal,14,11,23.2,1.29,0.286,0.267
/ranking/population-growth-rate,14,9,71.8,6.93,1,0.857
/ranking/road-municipal-length,14,12,26.5,3,0.786,0.786
/blog/beef-consumption-prefecture-gap,13,10,140.3,9.77,0.615,0.4
/blog/dual-income-household-ratio-vs-rooms-per-dwelling,13,12,85.1,2.15,0.538,0.571
/blog/public-phone-count,13,10,47.4,2.23,0.692,0.214
/ranking/average-height-primary-school-fifth-grade-male,13,7,24.5,1.31,0.231,0.231
/ranking/coffee-shop-consumption-expenditure,13,9,93.4,8,0.462,0.5
/ranking/convenience-store-sales-monthly,13,11,29.3,2.15,0.462,0.357
/ranking/fire-department-pump-car-count-per-100-thousand-people,13,8,378.5,2.92,0.769,0.786
/ranking/habitable-area-ratio,13,10,208,1.62,0.923,0.714
/ranking/home-ownership-rate-kakei,13,9,61.4,3.23,0.769,0.357
/ranking/potato-consumption-quantity,13,9,25.7,1.54,0.615,0.462
/ranking/psychiatric-hospital-avg-length-of-stay,13,8,119.8,2.69,0.692,0.615
/ranking/sugar-consumption-quantity,13,9,43.5,1.54,0.615,0.231
/themes/fishery-marine,13,7,121.1,6.46,1,0.4
/blog/barber-beauty-salon-regional-gap,12,10,88.2,10.25,0.833,0.5
/blog/beef-consumption-quantity,12,4,38.3,2.33,0.833,0.833
/blog/fukushima-food-culture,12,11,85.7,2.42,0.333,0.417
/blog/manufacturing-establishments-prefecture-gap,12,3,33.1,1.42,0.333,0.667
/blog/road-infrastructure-density,12,9,35.6,1.67,0.75,0.429
/blog/sushi-dining-consumption-expenditure,12,9,59.3,2,0.25,0.417
/ranking/black-tea-consumption-quantity,12,10,36.4,1.92,0.583,0.583
/ranking/deaths-hypertensive-diseases,12,8,37.5,3.17,0.75,0.583
/ranking/leek-consumption-quantity,12,9,64.8,4,0.5,0.462
/ranking/municipality-count,12,10,71.2,2.42,0.833,0.692
/ranking/pear-consumption-expenditure,12,11,39.8,1.33,0.167,0.083
/ranking/shrimp-consumption-quantity,12,8,75.9,1.42,0.5,0.5
/ranking/tofu-consumption-quantity,12,8,69.2,3.92,1,0.923
/ranking/total-overnight-guests,12,8,23.3,2.92,0.5,0.571
/blog/cc-estat-01-setup,11,8,63.7,3,1,0.286
/municipalities/ranking/densely-inhabited-district-population-density,11,8,25,1.18,0.727,0.462
/municipalities/ranking/owner-occupied-housing-ratio,11,9,11.8,1.55,0.091,0.167
/ranking/fish-catch,11,6,61.4,1.27,0.818,0.364
/ranking/future-burden-ratio,11,10,40.2,2.09,0.273,0.545
/ranking/high-school-graduates-out-of-prefecture-job-ratio,11,8,18.3,1.45,1,0.818
/ranking/manufacturing-shipment-amount-per-establishment,11,9,39.5,2.73,0.818,0.583
/ranking/pear-consumption-quantity,11,10,113.7,6.55,0.818,0.455
/ranking/per-capita-prefectural-income-h27,11,8,58.9,1.91,0.455,0.364
/ranking/railway-station-count,11,8,19.8,1.55,0.727,0.727
/ranking/retail-sales-amount-by-prefecture,11,9,31.1,2.55,0.909,0.5
/ranking/road-length-per-km2,11,9,23.9,1.91,0.364,0.636
/ranking/sausage-consumption-quantity,11,9,29,2,0.455,0.385
/ranking/savory-bread-consumption-expenditure,11,6,43.2,1.18,0.182,0.333
/ranking/specialized-school-students,11,6,121.1,1.18,0.727,0.583
/ranking/starting-salary-highschool,11,9,29,1.18,0.818,0.636
/ranking/study-participation-rate-arts-culture,11,10,150.8,6.91,0.364,0.583
/ranking/theft-offenses-recognized,11,8,53.5,6.27,0.364,0.727
/ranking/umbrella-consumption-expenditure,11,10,301.8,16.82,1,0.286
/survey/kakei-chousa,11,7,29.5,2.55,1,0.667
/themes/population-dynamics,11,6,22.8,2.64,0.909,0.846
/areas/12000/fishery-marine,10,5,14.5,1.9,1,0.5
/blog/annual-sunshine-duration-prefecture-gap,10,3,12,1,0.3,0.4
/blog/gasoline-expenditure-ranking,10,6,38.9,1.8,0.3,0.1
/blog/instant-noodles-consumption-prefecture-gap,10,7,93.2,1.8,0.6,0.5
/blog/school-lunch-expenditure-ranking,10,6,32.2,1,0.6,0.7
/ranking/beer-consumption-quantity,10,6,22.6,1.7,0.7,0.7
/ranking/croquette-consumption-expenditure,10,5,37.4,3.8,0.7,0.6
/ranking/culture-recreation-expenditure-ratio-multi-person-households,10,6,30.6,1,0.5,0.364
/ranking/fish-paste-consumption-expenditure,10,9,36.3,1.5,0.4,0.4
/ranking/hobby-participation-rate-popular-music,10,9,70.3,4,0.4,0.417
/ranking/local-allocation-tax-ratio-pref-finance,10,10,54.1,1.2,0.6,0.7
/ranking/marine-fishery-aquaculture-output-value,10,7,41.6,1,0.5,1
/ranking/mayonnaise-consumption-expenditure,10,5,11.9,1,0.1,0.4
/ranking/other-cosmetics-consumption-expenditure,10,8,47.9,2.9,0.3,0.5
/ranking/prefectural-assembly-members,10,9,64.9,2.8,0.9,0.417
/ranking/ratio-65-plus,10,4,27.2,1.2,0.7,0.8
/ranking/shumai-consumption-expenditure,10,9,45.6,1.4,0.4,0.2
/ranking/total-population,10,7,182.1,3,1,0.7
/ranking/treatment-rate-mental-disorder-inpatient,10,7,30.3,1.2,0.3,0.4
/ranking/treatment-rate-mood-disorder-outpatient,10,8,31.3,1.2,0.2,0.4
/ranking/whitebait-consumption-quantity,10,7,18.9,1.3,0,0.3
/themes/consumer-prices,10,6,38.7,3.2,0.8,0.6
