score,code,indicator,unit,category,series,opp,prefId,cityId
5,#A0191006,#A0191006_将来推計人口（2045年）,人,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
5,#A0191007,#A0191007_将来推計人口（2050年）,人,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
5,#A0411001,#A0411001_未婚者割合（15歳以上人口）,％,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
5,B1101,総面積（北方地域及び竹島を除く）,ｈａ,自然環境,basic,ADD city (pref exists),0000010102,0000020202
5,B1103,可住地面積,ｈａ,自然環境,basic,ADD city (pref exists),0000010102,0000020202
5,B1104,主要湖沼面積,ｈａ,自然環境,basic,ADD city (pref exists),0000010102,0000020202
5,B1105,林野面積,ｈａ,自然環境,basic,ADD city (pref exists),0000010102,0000020202
5,B1106,森林面積,ｈａ,自然環境,basic,ADD city (pref exists),0000010102,0000020202
5,B1201,評価総地積（課税対象土地）,ｍ2,自然環境,basic,ADD city (pref exists),0000010102,0000020202
5,C120120,納税義務者数（所得割）,人,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C120130,納税義務者数（均等割）,人,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C2101,事業所数（事業所・企業統計調査結果）,所,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C2107,事業所数（経済センサス‐基礎調査結果）,事業所,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C210722,事業所数（医療、福祉）,所,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C3101,農業産出額,百万円,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C3107,耕地面積,ｈａ,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C3109,耕地放棄面積,ｈａ,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C3403,製造業事業所数,事業所,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C3404,製造業従業者数,人,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C5405,標準価格（平均価格）（工業地）,円／ｍ2,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,C6101,売上金額（民営）,百万円,経済基盤,basic,ADD city (pref exists),0000010103,0000020203
5,D1202,一般行政部門職員数（市区町村）,人,行政基盤,basic,ADD city (pref exists),0000010104,0000020204
5,D2205,基準財政収入額（市町村財政）,千円,行政基盤,basic,ADD city (pref exists),0000010104,0000020204
5,D2206,基準財政需要額（市町村財政）,千円,行政基盤,basic,ADD city (pref exists),0000010104,0000020204
5,#E0110201,#E0110201_小学校数（可住地面積100km2当たり）,校,教育,indicator,ADD city (pref exists),0000010205,0000020305
5,#E0110202,#E0110202_中学校数（可住地面積100km2当たり）,校,教育,indicator,ADD city (pref exists),0000010205,0000020305
5,#E0110203,#E0110203_高等学校数（可住地面積100km2当たり）,校,教育,indicator,ADD city (pref exists),0000010205,0000020305
5,E2101,小学校数,校,教育,basic,ADD city (pref exists),0000010105,0000020205
5,E2501,小学校児童数,人,教育,basic,ADD city (pref exists),0000010105,0000020205
5,E3101,中学校数,校,教育,basic,ADD city (pref exists),0000010105,0000020205
5,E3501,中学校生徒数,人,教育,basic,ADD city (pref exists),0000010105,0000020205
5,E4101,高等学校数,校,教育,basic,ADD city (pref exists),0000010105,0000020205
5,#F01204,#F01204_第2次産業及び第3次産業就業者比率（対就業者）,％,労働,indicator,ADD city (pref exists),0000010206,0000020306
5,#F0350303,#F0350303_高齢就業者割合（65歳以上）,％,労働,indicator,ADD city (pref exists),0000010206,0000020306
5,#G01101,#G01101_公民館数（人口100万人当たり）,館,文化・スポーツ,indicator,ADD city (pref exists),0000010207,0000020307
5,#G01104,#G01104_図書館数（人口100万人当たり）,館,文化・スポーツ,indicator,ADD city (pref exists),0000010207,0000020307
5,#H06131,#H06131_大型小売店数（人口10万人当たり）,店,居住,indicator,ADD city (pref exists),0000010208,0000020308
5,#H06132,#H06132_百貨店、総合スーパー数（人口10万人当たり）,店,居住,indicator,ADD city (pref exists),0000010208,0000020308
5,H1800,着工新設住宅戸数,戸・件,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H1801,着工新設持家数,戸・件,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H1802,着工新設貸家数,戸・件,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H1803,着工新設分譲住宅数,戸・件,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H2270,耐震工事をした住宅数（持ち家）,住宅,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H2281,太陽光を利用した発電機器のある住宅数,戸,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H2600,着工新設住宅床面積,ｍ2,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H5608,ごみ計画収集人口,人,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H5609,ごみ総排出量（総量）,ｔ,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H5615,ごみ最終処分量,ｔ,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H6130,小売店数,事業所,居住,basic,ADD city (pref exists),0000010108,0000020208
5,H6133,百貨店、総合スーパー数,事業所,居住,basic,ADD city (pref exists),0000010108,0000020208
5,#I0910105,#I0910105_一般診療所数（人口10万人当たり）,施設,健康・医療,indicator,ADD city (pref exists),0000010209,0000020309
5,#I0950102,#I0950102_一般病院数（可住地面積100km2当たり）,施設,健康・医療,indicator,ADD city (pref exists),0000010209,0000020309
5,#I0950103,#I0950103_一般診療所数（可住地面積100km2当たり）,施設,健康・医療,indicator,ADD city (pref exists),0000010209,0000020309
5,I510110,精神科病院数,施設,健康・医療,basic,ADD city (pref exists),0000010109,0000020209
5,I510120,一般病院数,施設,健康・医療,basic,ADD city (pref exists),0000010109,0000020209
5,I5102,一般診療所数,施設,健康・医療,basic,ADD city (pref exists),0000010109,0000020209
5,I5103,歯科診療所数,施設,健康・医療,basic,ADD city (pref exists),0000010109,0000020209
5,I6100,医師数,人,健康・医療,basic,ADD city (pref exists),0000010109,0000020209
5,I6200,歯科医師数,人,健康・医療,basic,ADD city (pref exists),0000010109,0000020209
5,I6300,薬剤師数,人,健康・医療,basic,ADD city (pref exists),0000010109,0000020209
5,J2402,身体障害者更生援護施設定員数,人,福祉・社会保障,basic,ADD city (pref exists),0000010110,0000020210
5,J2403,身体障害者更生援護施設在所者数,人,福祉・社会保障,basic,ADD city (pref exists),0000010110,0000020210
5,J2702,知的障害者援護施設定員数,人,福祉・社会保障,basic,ADD city (pref exists),0000010110,0000020210
5,J2703,知的障害者援護施設在所者数,人,福祉・社会保障,basic,ADD city (pref exists),0000010110,0000020210
5,K3101,交通事故発生件数,件,安全,basic,ADD city (pref exists),0000010111,0000020211
5,K4201,刑法犯認知件数,件,安全,basic,ADD city (pref exists),0000010111,0000020211
4.5,D3201,歳入決算総額（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
4.5,D3203,歳出決算総額（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
4.5,E9101,最終学歴人口（卒業者総数）,人,教育,basic,NEW pref+city,0000010105,0000020205
4,B1102,総面積（北方地域及び竹島を含む）,ｈａ,自然環境,basic,NEW pref+city,0000010102,0000020202
4,B1107,森林以外の草生地面積,ｈａ,自然環境,basic,NEW pref+city,0000010102,0000020202
4,B120103,評価総地積（宅地）,ｍ2,自然環境,basic,NEW pref+city,0000010102,0000020202
4,#B02101,#B02101_年平均気温,ﾟC,自然環境,indicator,NEW pref,0000010202,
4,#B02201,#B02201_年平均相対湿度,％,自然環境,indicator,NEW pref,0000010202,
4,#B02301,#B02301_快晴日数（年間）,日,自然環境,indicator,NEW pref,0000010202,
4,#B02303,#B02303_降水日数（年間）,日,自然環境,indicator,NEW pref,0000010202,
4,#B02304,#B02304_雪日数（年間）,日,自然環境,indicator,NEW pref,0000010202,
4,#B02401,#B02401_日照時間（年間）,時間,自然環境,indicator,NEW pref,0000010202,
4,#B02402,#B02402_降水量（年間）,mm,自然環境,indicator,NEW pref,0000010202,
4,C120110,課税対象所得,千円,経済基盤,basic,NEW pref+city,0000010103,0000020203
4,C210701,事業所数（公務を除く）,所,経済基盤,basic,NEW pref+city,0000010103,0000020203
4,C210706,事業所数（非農林漁業（公務を除く））,所,経済基盤,basic,NEW pref+city,0000010103,0000020203
4,C210725,事業所数（公務（他に分類されるものを除く））,所,経済基盤,basic,NEW pref+city,0000010103,0000020203
4,C2108,事業所数（民営）,事業所,経済基盤,basic,NEW pref+city,0000010103,0000020203
4,C210801,事業所数（民営）従業者1～4人,事業所,経済基盤,basic,NEW pref+city,0000010103,0000020203
4,D2209,一般財源（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
4,D2210,投資的経費（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
4,D320101,地方税（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
4,D320102,地方譲与税（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
4,D320103,利子割交付金（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
4,D320104,ゴルフ場利用税交付金（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
4,D320105,特別地方消費税交付金（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
4,D320106,自動車取得税交付金（市町村財政）,千円,行政基盤,basic,NEW pref+city,0000010104,0000020204
