date,days,affiliate_vertical,link_position,impressions,clicks,ctr
2026-08-28,28,travel,article-end,3,0,0.000000
2026-08-28,28,travel,article-inline,19,0,0.000000
2026-08-28,28,travel,blog-sidebar,9,0,0.000000
2026-08-28,28,travel,category-native,28,0,0.000000
2026-08-28,28,travel,ranking-end,7,0,0.000000
2026-08-28,28,travel,ranking-incontent,14,0,0.000000
2026-08-28,28,travel,ranking-native,36,0,0.000000
2026-08-28,28,travel,ranking-sidebar,53,0,0.000000
2026-08-28,28,travel,sidebar,6,0,0.000000
2026-08-28,28,_all,_all,23771,11,0.000463
